"t","mbps"
"0","1013.1"
"2.03","1068.3"
"3.95","1121.8"
"5.77","1144.5"
"7.56","1134"
"9.37","1220.7"
"11.05","1191"
"12.76","1082.9"
"14.66","1121.4"
"16.48","1183.3"
"18.21","1098.9"
"20.08","1092.8"
"21.95","1110.4"
"23.8","1103.5"
"25.65","1069.2"
"27.57","1089.2"
"29.45","1054.6"
"31.39","1056.8"
"33.33","1074.7"
"35.23","1070.6"
"37.15","1068.2"
"39.06","1034.6"
"41.04","1003.8"
"43.08","1018.3"
"45.09","1006.7"
"47.13","1054.3"
"49.07","1052.1"
"51.02","1040.5"
"52.99","989.1"
"55.06","992.5"
"57.12","972.9"
"59.23","1030.5"
"61.21","1010.5"
"63.24","1010.7"
"65.27","1009.7"
"67.29","1038.4"
"69.27","992.3"
"71.33","1004.2"
"73.37","1011.9"
"75.39","1014.4"
"77.41","1022.2"
"79.42","981.9"
"81.5","1008.6"
"83.53","1022.2"
"85.54","982.1"
"87.62","980.1"
"89.71","954.8"
"91.86","990.2"
"93.92","1019.1"
"95.93","988.8"
"98.01","992.5"
"100.07","958.1"
"102.21","975.3"
"104.31","977.1"
"106.4","980.6"
"108.49","990"
"110.56","975"
"112.66","980.5"
"114.75","1011"
"116.77","963.9"
"118.9","1003.7"
"120.94","965.3"
"123.06","952.9"
"125.21","978.6"
"127.3","953.9"
"129.45","990.5"
"131.52","1030.3"
"133.51","958"
"135.64","957.7"
"137.78","1000.6"
"139.83","974.4"
"141.93","942.1"
"144.1","946.8"
"146.27","969.6"
"148.38","1001.9"
"150.42","941.8"
"152.6","961.1"
"154.73","946.6"
"156.89","981.4"
"158.98","963.1"
"161.11","965.8"
"163.23","942.7"
"165.4","942.5"
"167.57","912.8"
"169.82","952.3"
"171.97","835.2"
"174.42","939.6"
"176.6","954.4"
"178.74","949.8"
