"arm","dir","n","MBps","cpuPerGB","clockPct","tempMaxC"
"RSYNC_WIN32_WSEQSCAN=0","pull","4","1054","1.263","187.2","70"
"RSYNC_WIN32_WSEQSCAN=1","pull","4","1024","1.267","181.8","80"
"SSH_SHMIO_SPIN=0","pull","3","1003","1.354","171.9","82"
"SSH_SHMIO_SPIN=128","pull","3","952","1.967","147","86"
"SSH_SHMIO_SPIN=2048","pull","3","635","2.497","147.6","87"
"SSH_SHMIO_SPIN=512","pull","3","882","2.108","147.8","87"
"ring1024","push","2","1351","1.396","173.2","66"
"ring16384","push","2","1358","1.432","173.4","78"
"ring256","push","2","1360","1.344","171.9","70"
"ring4096","push","2","1360","1.359","178","74"
"SSH_SHMIO_SPIN=0","push","3","1256","1.401","174.7","64"
"SSH_SHMIO_SPIN=128","push","3","1268","1.365","175.4","68"
"SSH_SHMIO_SPIN=2048","push","3","1274","1.315","172","76"
"SSH_SHMIO_SPIN=512","push","3","1268","1.323","172.8","73"
