t,cpu_pct,temp_c,rx_MBps
1.00,0.50,36.0,0.0
2.00,0.62,36.0,0.0
3.00,1.13,36.0,144.2
4.01,6.62,39.0,1868.4
5.01,6.50,39.0,1817.5
6.01,6.62,45.0,1841.9
7.01,6.61,45.0,1855.5
8.01,6.61,47.0,1863.7
9.01,6.50,47.0,1859.0
10.01,6.56,49.0,1840.0
11.01,6.67,49.0,1832.7
12.02,6.44,50.0,1872.0
13.02,6.56,50.0,1843.1
14.02,6.56,51.0,1851.8
15.02,6.56,51.0,1853.6
16.02,6.61,52.0,1858.0
17.02,6.62,52.0,1870.2
18.02,6.68,53.0,1877.4
19.03,6.67,53.0,1862.1
20.03,6.73,53.0,1857.7
21.03,6.61,53.0,1856.3
22.03,6.62,54.0,1859.7
23.03,6.74,54.0,1850.2
24.03,6.56,55.0,1846.5
25.03,6.55,55.0,1872.4
26.03,6.68,56.0,1879.9
27.04,6.68,56.0,1840.1
28.04,6.73,56.0,1854.2
29.04,6.62,56.0,1853.7
30.04,6.68,57.0,1832.4
31.04,6.44,57.0,1848.9
32.04,6.67,57.0,1856.5
33.04,6.61,57.0,1866.3
34.05,6.62,58.0,1852.9
35.05,6.68,58.0,1824.8
36.05,6.86,58.0,1843.4
37.05,6.73,58.0,1878.9
38.05,6.56,59.0,1904.1
39.05,6.56,59.0,1874.6
40.05,6.62,59.0,1877.0
41.05,6.61,59.0,1859.2
42.06,6.67,59.0,1834.0
43.06,6.67,59.0,1861.2
44.06,6.67,60.0,1845.1
45.06,6.62,60.0,1852.5
46.06,6.45,60.0,1851.3
47.06,6.74,60.0,1794.0
48.06,6.61,60.0,1825.6
49.06,6.55,60.0,1831.7
50.07,6.61,61.0,1843.9
51.07,6.44,61.0,1863.5
52.07,6.20,61.0,1906.5
53.07,6.38,61.0,1865.4
54.07,6.32,61.0,1906.1
55.07,6.61,61.0,1840.4
56.07,6.62,62.0,1866.3
57.08,6.68,62.0,1798.4
58.08,6.61,62.0,1838.9
59.08,6.56,62.0,1865.4
60.08,6.67,62.0,1849.9
61.08,6.79,62.0,1843.1
62.08,6.68,62.0,1871.5
63.08,6.73,62.0,1877.3
64.08,6.56,63.0,1840.4
