t,cpu_pct,temp_c,rx_MBps
1.00,1.37,44.0,0.0
2.00,1.06,44.0,0.0
3.00,1.50,44.0,88.6
4.01,7.25,44.0,1736.6
5.01,7.25,44.0,1715.8
6.01,7.07,47.0,1735.5
7.01,7.25,47.0,1742.6
8.01,7.25,49.0,1734.9
9.01,7.08,49.0,1722.9
10.01,7.31,49.0,1732.0
11.02,7.31,49.0,1689.4
12.02,7.13,50.0,1743.8
13.02,7.12,50.0,1746.7
14.02,7.13,50.0,1731.2
15.02,7.43,50.0,1725.9
16.02,7.31,51.0,1733.1
17.02,7.07,51.0,1728.1
18.03,7.25,51.0,1714.5
19.03,6.76,51.0,1613.5
20.03,7.06,51.0,1688.6
21.03,6.69,51.0,1623.0
22.03,7.30,52.0,1700.0
23.03,7.18,52.0,1737.4
24.03,7.12,52.0,1720.6
25.04,7.37,52.0,1747.2
26.04,7.24,52.0,1746.5
27.04,7.25,52.0,1768.6
28.04,7.31,53.0,1744.4
29.04,6.77,53.0,1635.8
30.04,6.88,53.0,1619.1
31.04,7.12,53.0,1704.0
32.04,7.30,53.0,1720.5
33.05,7.07,53.0,1750.5
34.05,7.13,54.0,1691.5
35.05,7.20,54.0,1729.9
36.05,7.31,54.0,1725.2
37.05,7.37,54.0,1736.2
38.05,7.30,54.0,1734.1
39.05,7.20,54.0,1733.1
40.05,7.30,55.0,1736.9
41.06,7.14,55.0,1724.0
42.06,7.30,55.0,1751.0
43.06,7.25,55.0,1784.3
44.06,7.01,55.0,1754.4
45.06,7.54,55.0,1753.4
46.06,7.13,55.0,1738.0
47.06,7.37,55.0,1714.9
48.07,7.25,55.0,1723.6
49.07,7.37,55.0,1717.4
50.07,7.31,55.0,1731.7
51.07,7.19,55.0,1714.9
52.07,7.32,56.0,1736.8
53.07,7.31,56.0,1753.8
54.07,7.37,56.0,1748.0
55.07,7.31,56.0,1766.7
56.08,7.36,56.0,1764.0
57.08,7.25,56.0,1752.6
58.08,7.31,56.0,1741.7
59.08,7.00,56.0,1683.7
60.08,7.43,56.0,1699.4
61.08,7.01,56.0,1693.4
62.08,7.31,56.0,1750.6
63.08,7.25,56.0,1728.8
64.09,7.25,56.0,1717.8
65.09,7.25,56.0,1713.2
66.09,7.37,56.0,1712.5
67.09,7.31,56.0,1731.1
68.09,7.30,56.0,1710.5
69.09,7.20,56.0,1734.1
70.09,7.13,57.0,1715.8
71.10,7.20,57.0,1756.1
72.10,7.25,57.0,1719.9
73.10,7.13,57.0,1743.5
74.10,7.36,57.0,1751.3
75.10,7.32,57.0,1742.9
76.10,7.25,57.0,1708.6
77.10,7.31,57.0,1744.8
78.10,7.25,57.0,1737.0
79.11,7.13,57.0,1714.4
80.11,7.37,57.0,1760.4
81.11,7.42,57.0,1734.6
82.11,7.25,57.0,1726.5
83.11,7.31,57.0,1742.5
84.11,7.19,57.0,1735.2
85.11,7.25,57.0,1715.4
86.12,7.31,57.0,1734.7
87.12,7.25,57.0,1713.9
88.12,7.25,58.0,1741.2
89.12,7.19,58.0,1725.3
90.12,7.42,58.0,1755.7
91.12,7.01,58.0,1733.0
92.12,7.25,58.0,1759.1
93.13,7.25,58.0,1737.8
94.13,7.19,58.0,1736.0
95.13,7.25,58.0,1750.9
96.13,7.25,58.0,1747.4
97.13,7.19,58.0,1726.5
98.13,7.25,58.0,1753.4
99.13,7.31,58.0,1756.4
100.13,7.19,58.0,1733.0
101.14,7.25,58.0,1748.0
102.14,7.19,58.0,1727.9
103.14,7.13,58.0,1718.1
104.14,7.25,58.0,1733.4
105.14,7.31,58.0,1718.5
106.14,7.31,58.0,1727.0
107.14,7.19,58.0,1710.9
108.14,7.37,58.0,1741.2
109.15,7.25,58.0,1729.7
110.15,7.30,58.0,1738.1
111.15,7.19,58.0,1711.2
112.15,7.31,58.0,1732.6
113.15,7.37,58.0,1719.5
114.15,7.13,58.0,1723.3
115.16,7.48,58.0,1727.1
116.16,7.31,58.0,1726.5
117.16,7.25,58.0,1717.2
118.16,7.31,58.0,1739.7
119.16,7.18,58.0,1730.8
120.16,7.48,58.0,1725.9
121.17,7.12,58.0,1727.3
122.17,7.24,58.0,1731.8
123.17,7.25,58.0,1752.1
124.17,7.18,58.0,1712.6
125.17,7.19,58.0,1740.7
126.17,7.18,58.0,1748.0
127.18,7.31,58.0,1754.3
128.18,7.31,58.0,1747.2
