t,cpu_pct,perf_pct,mhz,tx_MBps,rx_MBps,cpu_c,ambient_c
1.42,6.02,154.00,1696,0.0,0.0,61,58
2.56,4.18,140.16,1696,0.0,0.0,61,58
3.68,9.68,178.76,1696,1048.6,1.0,61,58
4.80,10.66,188.22,1696,1731.7,1.6,61,58
5.91,10.10,187.92,1696,1721.2,1.6,62,58
7.04,9.96,188.13,1696,1724.6,1.6,63,58
8.17,8.95,188.02,1696,1730.0,1.6,63,58
9.28,7.91,187.90,1696,1730.8,1.6,64,58
10.41,10.57,187.94,1696,1725.4,1.6,64,58
11.52,15.02,188.25,1696,1701.1,1.6,65,58
12.64,9.78,188.05,1696,1745.8,1.6,65,58
13.75,8.78,188.09,1696,1729.5,1.6,65,58
14.89,9.71,188.03,1696,1742.6,1.6,66,58
16.01,9.01,188.10,1696,1715.6,1.6,67,58
17.13,15.28,188.58,1696,1711.6,1.6,67,59
18.26,9.56,188.10,1696,1722.4,1.6,68,59
19.41,34.27,189.01,1696,1628.4,1.5,69,59
20.57,59.50,188.96,1696,1611.1,1.5,70,59
21.71,28.02,188.96,1696,1706.4,1.6,72,60
22.83,14.12,188.54,1696,1720.7,1.6,73,60
23.93,14.35,188.48,1696,1717.8,1.6,73,60
25.04,11.37,188.24,1696,1731.4,1.6,74,60
26.15,8.63,188.51,1696,1750.8,1.6,74,60
27.28,9.20,188.45,1696,1762.1,1.6,75,60
28.47,18.84,188.70,1696,1740.7,1.6,75,60
29.65,64.20,186.86,1696,1612.3,1.5,77,61
30.76,38.34,184.11,1696,1651.5,1.5,78,61
31.90,12.24,187.50,1696,1730.2,1.6,78,61
33.04,16.01,188.38,1696,1733.6,1.6,79,61
34.15,16.84,188.49,1696,1685.2,1.6,79,61
35.30,9.27,187.86,1696,1731.6,1.6,80,61
36.41,12.36,188.39,1696,1729.7,1.6,80,62
37.53,7.92,188.18,1696,1732.1,1.6,80,62
38.64,11.66,187.99,1696,1723.9,1.6,80,62
39.76,9.31,186.54,1696,1752.3,1.6,80,62
40.90,8.73,179.67,1696,1708.3,1.6,81,63
42.00,10.91,182.67,1696,1758.2,1.6,81,63
