"t","clock","cpu","temp","fan"
"2.13","189","18.5","62","4902"
"4.67","188.5","17.9","65","4909"
"7.2","188.5","19","68","4902"
"9.72","189","17.6","70","4909"
"12.23","185.8","18.5","73","4902"
"14.76","188.2","17.3","74","4902"
"17.31","188.9","15.9","77","4909"
"19.82","188.9","22.3","79","4909"
"22.35","187.9","33","81","4866"
"24.88","188.9","26.6","83","4890"
"27.43","187.9","19.5","84","4890"
"29.95","187.3","20.9","86","4890"
"32.47","186.4","37.7","87","4872"
"35.03","162.1","34.7","88","4890"
"37.57","164.3","25.5","88","4884"
"40.12","163.9","19.2","88","4890"
"42.67","161.8","19.1","89","4890"
"45.22","164.5","25.5","89","4890"
"47.8","159.2","19.7","88","4884"
"50.35","163","18.6","88","4890"
"52.9","160.2","18.2","88","4890"
"55.48","162.1","19.7","88","4890"
"58.02","161.5","17.8","88","4884"
"60.57","161.4","17.9","88","4915"
"63.13","161.7","20.7","88","4915"
"65.7","160.1","20.3","88","4921"
"68.26","159.6","19.7","88","4921"
"70.83","159.2","18.3","88","4921"
"73.38","159.6","16.7","88","4902"
"75.95","159.4","18.3","87","4921"
"78.51","160.8","18.7","87","4921"
"81.06","159.6","21.4","87","4921"
"83.64","160.3","18.4","87","4921"
"86.2","160.2","18.1","87","4921"
"88.76","159.6","18.7","87","4933"
"91.32","159.4","20.1","87","5877"
"93.87","160.2","18","87","6012"
"96.43","159.2","18.4","86","6012"
"98.99","160.7","20.5","86","6003"
"101.58","159.6","19","86","6030"
"104.13","158.6","18","86","6012"
"106.69","160","18","86","6003"
"109.22","161","18.7","86","6030"
"111.78","161.2","20.9","86","6012"
"114.32","160.4","19.6","86","6030"
"116.87","161.2","17.8","85","6030"
"119.43","160.3","18.2","85","6030"
"121.97","129","1.8","84","6030"
