t,rx_MBps,cpu_pct,temp_c
1.00,1820.2,7.40,43.0
2.00,1799.9,7.09,46.0
3.00,1797.2,7.21,46.0
4.00,1798.0,7.15,47.0
5.00,1789.9,7.16,47.0
6.00,1805.2,7.15,48.0
7.00,1823.3,7.21,48.0
8.00,1815.4,7.10,49.0
9.00,1838.9,7.27,49.0
10.00,1789.2,6.92,50.0
11.00,1810.5,7.15,50.0
12.00,1837.4,7.09,50.0
13.00,1802.0,7.33,50.0
14.00,1808.8,7.03,50.0
15.00,1795.0,7.21,50.0
16.00,1813.7,7.27,51.0
17.00,1808.8,7.21,51.0
18.00,1790.5,7.27,51.0
19.00,1805.7,7.04,51.0
20.00,1769.3,7.09,52.0
21.00,1750.3,7.15,52.0
22.00,1752.4,7.15,52.0
23.00,1746.0,7.04,52.0
24.00,1833.7,7.10,52.0
25.00,1683.8,7.08,52.0
26.00,1738.6,7.33,52.0
27.00,1810.2,7.21,52.0
28.00,1778.2,7.04,53.0
29.00,1794.5,7.09,53.0
30.00,1807.6,7.10,53.0
31.00,1726.6,7.04,53.0
32.00,1610.3,6.96,53.0
33.00,1588.2,6.78,53.0
34.00,1452.3,6.41,53.0
35.00,1405.1,6.52,53.0
36.00,1592.7,6.96,53.0
37.00,1531.5,6.78,53.0
38.00,1520.3,6.84,53.0
39.00,1604.5,7.03,53.0
40.00,1620.4,7.03,54.0
41.00,1580.1,6.84,54.0
42.00,1606.5,7.04,54.0
43.00,1583.8,7.08,54.0
44.00,1620.3,7.26,54.0
45.00,1545.6,6.60,54.0
46.00,1459.2,6.89,54.0
47.00,1528.8,6.78,54.0
48.00,1543.0,6.77,54.0
49.00,1565.5,6.79,54.0
50.00,1599.6,7.08,55.0
51.00,1466.5,6.53,55.0
52.00,1605.8,6.97,55.0
53.00,1551.8,6.90,55.0
54.00,1576.6,6.85,55.0
55.00,1614.8,6.98,55.0
56.00,1535.8,6.90,55.0
57.00,1595.8,7.08,55.0
58.00,1580.9,7.02,56.0
59.00,1562.8,6.90,56.0
60.00,1589.6,6.97,56.0
61.00,1529.4,7.03,56.0
62.00,1597.9,7.03,56.0
63.00,1605.8,7.14,56.0
64.00,1533.8,6.72,56.0
65.01,1591.7,7.15,56.0
66.01,1536.6,6.72,56.0
67.01,1581.8,6.90,56.0
68.01,1576.8,6.78,56.0
69.01,1522.2,6.65,56.0
70.01,1578.1,6.96,56.0
71.01,1483.1,6.53,56.0
72.01,1568.9,6.90,56.0
73.01,1565.8,7.08,56.0
74.01,1541.0,6.95,56.0
75.01,1584.0,6.79,56.0
76.01,1552.1,6.84,57.0
77.01,1557.9,6.91,57.0
78.01,1592.9,6.96,57.0
79.01,1548.9,6.90,57.0
80.01,1571.4,6.91,57.0
81.01,1582.1,6.97,57.0
82.01,1554.4,6.78,57.0
83.01,1576.4,7.03,57.0
84.01,1543.1,6.96,57.0
85.01,1593.1,6.97,57.0
86.01,1587.5,7.03,57.0
87.01,1528.9,6.83,57.0
88.01,1586.2,7.03,57.0
89.01,1548.3,6.78,57.0
90.01,1590.2,7.02,57.0
91.01,1599.6,7.04,57.0
92.01,1544.1,6.96,58.0
93.01,1595.4,6.96,58.0
94.01,1559.8,6.78,58.0
95.01,1575.5,7.21,58.0
96.01,1581.5,6.85,58.0
97.01,1545.9,6.84,58.0
98.01,1556.7,6.95,58.0
99.01,1563.2,6.91,58.0
100.01,1576.2,6.91,58.0
101.01,1594.2,7.08,58.0
102.01,1492.9,6.65,58.0
103.01,1578.3,7.08,58.0
104.01,1597.7,6.78,58.0
105.01,1555.2,6.90,58.0
106.01,1579.4,6.78,58.0
107.01,1559.1,6.90,58.0
108.01,1600.2,7.02,58.0
109.01,1579.5,7.08,58.0
110.01,1539.0,6.78,58.0
111.01,1583.8,6.96,58.0
112.01,1543.1,6.72,58.0
113.01,1558.1,7.02,58.0
114.01,1585.9,7.09,58.0
115.01,1550.2,7.14,58.0
116.01,1595.7,7.08,58.0
117.01,1550.1,6.84,58.0
118.01,1566.7,6.91,58.0
119.01,1578.5,7.02,58.0
