"t","clock","cpu","temp","fan"
"2.5","188.8","16.1","55","3413"
"5.06","188.7","13.6","59","3413"
"7.6","185.1","17","61","3413"
"10.14","188.7","18.2","63","3413"
"12.65","185.5","14.2","66","3419"
"15.21","185.7","14.5","68","3419"
"17.75","186.1","16.9","70","3404"
"20.28","188.5","19.9","73","3413"
"22.81","188.2","16.9","74","3407"
"25.34","188.5","15.2","76","3413"
"27.89","188.5","18.9","78","3900"
"30.43","187.3","14.7","79","4012"
"32.98","188.6","14.9","81","4020"
"35.57","188.2","17.5","82","4020"
"38.1","188.2","17.2","84","4028"
"40.63","186.5","14.5","85","4121"
"43.13","188.6","17.8","86","4964"
"45.66","187.8","14.7","87","4933"
"48.18","188.6","15.9","87","4933"
"50.71","188.1","14.1","88","4933"
"53.25","186.4","17.6","89","4896"
"55.8","188","17.4","89","4902"
"58.32","188.6","15.5","90","4909"
"60.87","188.5","16.4","90","4902"
"63.41","187.6","14","91","4915"
"65.95","186.7","14.1","91","4902"
"68.49","188.6","17","91","4909"
"71.03","188.6","15.9","92","4909"
"73.57","188.6","16.7","92","4921"
"76.11","188.8","21.1","93","4921"
"78.64","185.8","12.9","93","4933"
"81.18","186.2","15.5","94","4921"
"83.71","186.6","17.1","94","4927"
"86.25","186.6","16.6","94","4909"
"88.8","187.6","18.5","95","4902"
"91.34","186.8","13.9","95","4896"
"93.87","182.2","16.6","94","5791"
"96.42","178.3","16.5","94","5966"
"98.95","180.4","17.5","94","5985"
"101.49","181.1","16.7","94","5985"
"104.02","181.1","14.4","94","5985"
"106.54","176.1","13.7","94","6030"
"109.08","179.3","17.5","94","6003"
"111.63","178.9","17.1","94","6030"
"114.17","177.9","16.2","93","6030"
"116.73","175.8","15.4","93","6030"
"119.25","179.8","16","93","6030"
"121.8","152.9","0.5","91","6003"
