t,rx_MBps,cpu_pct,temp_c
1.00,1846.1,7.09,41.0
2.00,1827.2,7.09,41.0
3.00,1822.2,6.92,43.0
4.00,1833.8,7.03,43.0
5.00,1818.3,7.03,44.0
6.00,1820.1,7.02,44.0
7.00,1816.3,6.97,45.0
8.00,1817.5,6.97,45.0
9.00,1823.6,7.03,46.0
10.00,1817.3,7.03,46.0
11.00,1819.9,7.09,46.0
12.00,1667.0,8.28,46.0
13.00,1844.0,7.09,46.0
14.00,1824.3,6.97,46.0
15.00,1831.2,7.14,47.0
16.00,1817.6,7.14,47.0
17.00,1809.3,6.97,48.0
18.00,1807.6,7.09,48.0
19.00,1832.8,6.97,48.0
20.00,1832.4,7.21,48.0
21.00,1814.1,6.91,48.0
22.00,1816.2,7.09,48.0
23.00,1806.3,7.27,49.0
24.00,1815.7,7.03,49.0
25.00,1819.3,7.08,49.0
26.00,1818.7,7.09,49.0
27.00,1852.1,7.09,50.0
28.00,1812.9,6.97,50.0
29.00,1833.4,7.03,50.0
30.00,1839.5,6.91,50.0
31.00,1821.6,7.09,50.0
32.00,1861.7,7.27,50.0
33.00,1825.3,6.91,50.0
34.00,1828.3,6.97,50.0
35.00,1835.1,7.15,50.0
36.00,1791.2,7.14,50.0
37.00,1825.4,6.97,51.0
38.00,1821.5,6.96,51.0
39.00,1799.8,6.96,51.0
40.00,1842.7,7.09,51.0
41.00,1819.2,7.03,51.0
42.00,1819.5,7.15,51.0
43.00,1835.9,7.03,52.0
44.00,1840.5,7.03,52.0
45.00,1814.5,7.40,52.0
46.00,1812.2,7.67,52.0
47.00,1823.7,7.73,52.0
48.00,1817.3,7.85,52.0
49.00,1813.6,7.95,52.0
50.00,1826.0,7.90,52.0
51.00,1822.8,7.85,53.0
52.00,1809.9,7.90,53.0
53.00,1824.9,8.71,53.0
54.00,1825.0,8.02,53.0
55.00,1813.1,7.73,53.0
56.00,1814.4,8.13,53.0
57.00,1819.6,7.96,53.0
58.00,1824.8,7.73,53.0
59.00,1821.7,7.89,54.0
60.00,1850.5,7.84,54.0
61.00,1840.8,7.90,54.0
62.00,1837.1,7.91,54.0
63.01,1696.2,8.79,54.0
64.01,1579.4,8.73,54.0
65.01,1614.0,9.34,53.0
66.01,1563.7,9.84,53.0
67.01,1736.4,8.71,53.0
68.01,1853.4,9.66,53.0
69.01,1845.3,8.27,55.0
70.01,1845.3,7.04,55.0
71.01,1844.0,6.91,56.0
72.01,1817.4,8.40,56.0
73.01,1857.4,6.97,56.0
74.01,1837.3,6.79,56.0
75.01,1943.5,6.28,58.0
76.01,1908.6,6.96,58.0
77.01,1878.5,7.47,58.0
78.01,1697.7,8.65,58.0
79.01,1788.9,7.47,57.0
80.01,1848.6,7.21,57.0
81.01,1859.4,6.98,56.0
82.01,1836.5,7.15,56.0
83.01,1831.7,7.09,56.0
84.01,1825.9,6.97,56.0
85.01,1828.8,7.20,56.0
86.01,1821.9,6.92,56.0
87.01,1817.1,7.21,56.0
88.01,1813.6,7.09,56.0
89.01,1830.0,7.27,56.0
90.01,1816.9,7.21,56.0
91.01,1828.5,7.21,56.0
92.01,1798.8,7.22,56.0
93.01,1829.6,7.09,56.0
94.01,1823.6,7.09,56.0
95.01,1825.4,7.09,56.0
96.01,1833.1,7.27,56.0
97.01,1819.1,7.15,56.0
98.01,1818.1,6.98,56.0
99.01,1815.8,7.21,56.0
100.01,1811.0,7.09,56.0
101.01,1842.2,7.09,56.0
102.01,1819.2,7.15,56.0
103.01,1822.4,6.98,56.0
104.01,1835.7,7.09,56.0
105.01,1801.6,6.98,56.0
106.01,1822.2,7.21,56.0
107.01,1827.8,7.21,57.0
108.01,1832.3,7.03,57.0
109.01,1836.8,7.09,57.0
110.01,1832.8,7.15,57.0
111.01,1863.3,7.10,57.0
112.01,1820.9,7.03,57.0
113.01,1821.4,7.03,57.0
114.01,1840.2,7.15,57.0
115.01,1820.0,7.03,57.0
116.01,1822.9,7.15,57.0
117.01,1833.1,7.03,57.0
118.01,1815.8,6.98,57.0
119.01,1831.3,7.21,57.0
