"t","clock","cpu","temp","fan"
"2.13","189","18.2","62","4902"
"4.67","188.4","16.4","65","4884"
"7.2","188.5","18.1","68","4890"
"9.73","188.4","18.2","70","4890"
"12.26","189","18","73","4890"
"14.79","188.5","19.2","77","4890"
"17.31","189","17.7","78","4890"
"19.83","189","18.4","81","4890"
"22.38","188","20.1","82","4890"
"24.9","189","16.1","84","4890"
"27.44","188.5","18.1","86","4890"
"29.97","188.2","16.4","87","4884"
"32.52","179.3","17.6","88","4890"
"35.06","165.3","19.5","88","4890"
"37.61","165.5","19.5","88","4890"
"40.16","165.5","19.2","87","4884"
"42.71","166.9","20.8","87","4890"
"45.24","165.9","19.8","87","4890"
"47.79","166.5","18.1","87","4890"
"50.34","166.4","16.5","87","4890"
"52.87","166.4","17.6","87","4890"
"55.41","166","18","87","4890"
"57.99","166.6","16.9","87","4902"
"60.54","163.4","19.8","87","4890"
"63.09","166","17.4","87","4890"
"65.63","165.9","16.2","88","4902"
"68.17","165.5","17.2","87","4909"
"70.8","166","47.3","87","4902"
"73.42","118.8","30.2","87","4902"
"75.99","142.9","31.3","86","4902"
"78.54","142.7","30.5","86","4902"
"81.11","143.3","30.8","85","4890"
"83.7","142","31.7","85","4909"
"86.26","144.7","31.3","85","4909"
"88.84","141.9","30","85","5921"
"91.4","139.3","30.5","85","6012"
"94","142","28.3","84","5994"
"96.58","140.2","31.2","84","5985"
"99.14","141.3","46.1","84","5994"
"101.69","160.6","19.8","84","5966"
"104.24","151.9","17.8","85","5985"
"106.78","165","19.9","85","5957"
"109.32","165.4","16.5","85","5985"
"111.85","165.8","19.4","86","5985"
"114.39","165.5","18","86","5985"
"116.93","162.5","15.8","86","6003"
"119.48","165.7","17.3","86","6003"
"122.02","121.6","2.9","85","6012"
