t,rx_MBps,cpu_pct,temp_c
1.00,1451.2,6.53,45.0
2.00,1430.2,6.47,45.0
3.00,1417.2,6.52,47.0
4.00,1425.5,6.52,47.0
5.00,1416.5,6.40,48.0
6.00,1426.7,6.46,48.0
7.00,1423.9,6.34,49.0
8.00,1414.7,6.52,49.0
9.00,1393.0,6.34,49.0
10.00,1412.4,6.46,49.0
11.00,1431.7,6.58,50.0
12.00,1424.5,6.65,50.0
13.00,1399.1,6.22,50.0
14.00,1429.9,6.64,50.0
15.00,1411.0,6.46,51.0
16.00,1426.2,6.40,51.0
17.00,1433.3,6.58,51.0
18.00,1395.7,6.34,51.0
19.00,1431.7,6.58,51.0
20.00,1411.3,6.41,51.0
21.00,1434.0,6.64,52.0
22.00,1430.8,6.64,52.0
23.00,1411.4,6.57,52.0
24.00,1434.5,6.47,52.0
25.00,1413.2,6.46,52.0
26.00,1422.8,6.59,52.0
27.00,1420.4,6.52,52.0
28.00,1403.5,6.58,52.0
29.00,1432.0,6.52,53.0
30.00,1396.0,6.46,53.0
31.00,1399.2,6.40,53.0
32.00,1276.8,5.90,53.0
33.00,1210.1,5.72,53.0
34.00,1252.9,5.96,53.0
35.00,1244.2,5.78,53.0
36.00,1225.3,5.65,53.0
37.00,1259.3,5.96,53.0
38.00,1228.7,5.78,53.0
39.00,1257.7,5.83,53.0
40.00,1260.3,5.78,53.0
41.00,1218.1,5.59,53.0
42.00,1266.1,5.96,53.0
43.00,1226.4,5.65,53.0
44.00,1255.8,5.78,53.0
45.00,1264.4,5.96,53.0
46.00,1198.5,5.77,53.0
47.00,1251.4,5.84,54.0
48.00,1219.0,5.53,54.0
49.00,1259.5,6.08,54.0
50.00,1247.3,5.71,54.0
51.00,1230.7,5.71,54.0
52.00,1263.4,5.72,54.0
53.00,1242.1,5.72,54.0
54.00,1252.6,5.96,54.0
55.00,1259.1,5.84,54.0
56.00,1230.0,5.72,54.0
57.00,1256.6,5.89,54.0
58.00,1243.2,5.78,54.0
59.00,1218.3,5.65,54.0
60.00,1262.1,5.72,54.0
61.00,1228.3,5.72,54.0
62.00,1265.9,5.78,54.0
63.01,1266.1,5.90,54.0
64.01,1237.0,5.71,54.0
65.01,1264.5,5.84,55.0
66.01,1241.5,5.96,55.0
67.01,1260.7,5.84,54.0
68.01,1255.8,5.90,54.0
69.01,1230.8,5.89,55.0
70.01,1263.4,5.96,55.0
71.01,820.2,4.76,55.0
72.01,772.5,4.33,55.0
73.01,1059.3,5.39,53.0
74.01,1015.7,5.14,53.0
75.01,1094.6,5.40,54.0
76.01,1071.5,5.51,54.0
77.01,1062.3,5.15,54.0
78.01,1091.7,5.64,54.0
79.01,1038.6,5.27,54.0
80.01,1078.9,5.34,54.0
81.01,1075.1,5.33,54.0
82.01,1057.0,5.21,54.0
83.01,1061.3,5.15,54.0
84.01,1050.8,5.21,54.0
85.01,1091.6,5.40,54.0
86.01,1082.6,5.40,54.0
87.01,1060.5,5.21,54.0
88.01,1060.5,5.15,54.0
89.01,1035.7,6.02,54.0
90.01,1056.7,5.51,54.0
91.01,1063.4,5.33,54.0
92.01,1048.8,5.21,54.0
93.01,1072.8,5.15,54.0
94.01,1047.7,5.45,54.0
95.01,1050.4,5.15,54.0
96.01,1067.9,5.21,54.0
97.01,1040.7,5.20,54.0
98.01,1075.4,5.40,54.0
99.01,961.0,4.95,54.0
100.01,1214.9,5.84,54.0
101.01,1141.9,5.52,55.0
102.01,1244.4,5.78,55.0
103.01,1156.2,5.58,55.0
104.01,1251.0,5.66,55.0
105.01,1214.7,5.78,55.0
106.01,1275.6,6.02,55.0
107.01,1238.2,5.90,55.0
108.01,1271.7,5.84,55.0
109.01,1281.0,5.96,56.0
110.01,1237.1,5.90,56.0
111.01,1268.0,5.96,56.0
112.01,1246.9,5.83,56.0
113.01,1264.0,5.78,56.0
114.01,1272.2,6.07,56.0
115.01,1220.5,5.72,56.0
116.01,1215.6,5.71,56.0
117.01,1247.7,5.78,56.0
118.01,1260.8,5.96,56.0
119.01,1277.4,6.02,56.0
