"t","clock","cpu","temp","fan"
"2.48","188.3","24.1","63","4012"
"5.04","188.6","41.7","65","4020"
"7.58","188.6","12.6","68","4016"
"10.11","188.6","15.2","71","4020"
"12.63","188.5","14.7","73","4028"
"15.17","187.8","16.2","75","4024"
"17.72","188.4","16.4","77","4041"
"20.24","187.7","15.6","79","3987"
"22.77","188.4","14.3","81","3996"
"25.31","188.6","16.8","82","4000"
"27.83","187.8","16.4","84","3996"
"30.38","188.6","17.1","85","4647"
"32.95","161.3","19.5","86","4946"
"35.52","159.4","17","86","4921"
"38.06","161.9","18.4","86","4933"
"40.64","159.6","19.8","86","4902"
"43.22","152.7","18.9","86","4921"
"45.78","158.2","19","85","4915"
"48.32","160.2","17.8","85","4921"
"50.87","159.8","17.3","85","4939"
"53.43","160.1","18.1","85","4915"
"55.97","159.7","16.7","85","4933"
"58.55","159.4","18.1","85","4921"
"61.1","160.3","19.4","85","4939"
"63.65","159.5","17.5","85","4933"
"66.21","158.6","20.5","85","4939"
"68.76","159.9","19.9","85","4933"
"71.33","159.7","16.6","85","4939"
"73.9","158.7","18.7","85","4933"
"76.47","160.1","20.4","85","4921"
"79.03","156.6","19.1","85","4933"
"81.58","159.6","18.5","85","4933"
"84.15","159.1","23.4","85","4939"
"86.69","153.5","17.2","85","4884"
"89.23","159.8","18.3","85","5328"
"91.82","158.4","17.3","85","5966"
"94.38","153.6","19.1","85","5985"
"96.93","159.2","18.5","85","6003"
"99.48","160.7","19.6","85","5985"
"102.02","160.1","15.8","84","5985"
"104.56","159.3","16.2","84","5985"
"107.13","159.6","17.4","84","5985"
"109.69","154.5","19.4","84","5985"
"112.25","159.4","17.2","84","5985"
"114.82","159","21.7","84","5985"
"117.36","160.1","17.2","85","6012"
"119.91","160.2","17.4","84","6003"
