t,rx_MBps,cpu_pct,temp_c
1.00,1750.3,6.97,43.0
2.00,1768.2,7.09,43.0
3.00,1618.2,8.89,46.0
4.00,1804.4,6.85,46.0
5.00,1739.5,7.15,47.0
6.00,1831.2,7.03,47.0
7.00,1835.8,7.09,48.0
8.00,1820.4,7.09,48.0
9.00,1822.0,7.22,48.0
10.00,1822.2,7.21,48.0
11.00,1824.9,6.91,49.0
12.00,1820.2,7.09,49.0
13.00,1818.1,6.97,49.0
14.00,1842.5,7.03,49.0
15.00,1823.6,7.08,50.0
16.00,1811.3,6.91,50.0
17.00,1825.3,7.21,50.0
18.00,1821.6,7.09,50.0
19.00,1816.5,6.91,51.0
20.00,1833.2,7.15,51.0
21.00,1814.9,6.97,51.0
22.00,1826.8,7.09,51.0
23.00,1828.5,7.04,51.0
24.00,1827.3,7.08,51.0
25.00,1856.1,6.97,52.0
26.00,1840.5,7.09,52.0
27.00,1806.0,7.09,52.0
28.00,1824.8,6.97,52.0
29.00,1849.2,6.98,53.0
30.00,1833.0,7.02,53.0
31.00,1814.5,6.96,53.0
32.00,1847.1,7.08,53.0
33.00,1806.8,7.03,53.0
34.00,1816.1,7.09,53.0
35.00,1795.8,7.15,54.0
36.00,1790.1,7.03,54.0
37.00,1807.4,7.03,54.0
38.00,1796.7,7.14,54.0
39.00,1774.0,7.09,54.0
40.00,1821.0,7.21,54.0
41.00,1732.0,7.08,54.0
42.00,1770.6,7.09,54.0
43.00,1834.2,7.03,54.0
44.00,1744.0,7.08,54.0
45.00,1837.6,6.91,55.0
46.00,1792.0,7.14,55.0
47.00,1820.6,6.97,55.0
48.00,1824.9,6.91,55.0
49.00,1773.1,7.21,55.0
50.00,1840.9,6.91,55.0
51.01,1818.2,7.21,55.0
52.01,1843.6,6.97,55.0
53.01,1848.3,7.03,56.0
54.01,1806.5,6.92,56.0
55.01,1842.9,7.09,56.0
56.01,1809.9,7.09,56.0
57.01,1836.5,7.03,56.0
58.01,1834.6,7.15,56.0
59.01,1819.0,7.09,56.0
60.01,1827.6,7.09,56.0
61.01,1832.0,7.15,56.0
62.01,1820.4,7.10,56.0
63.01,1827.4,7.34,56.0
64.01,1783.6,7.21,56.0
65.01,1836.1,7.26,56.0
66.01,1823.7,7.09,56.0
67.01,1781.0,7.21,57.0
68.01,1852.9,7.09,57.0
69.01,1773.8,7.03,57.0
70.01,1818.3,7.16,57.0
71.01,1838.1,7.09,57.0
72.01,1791.3,7.10,57.0
73.01,1854.5,7.15,57.0
74.01,1782.2,7.28,57.0
75.01,1824.6,7.15,57.0
76.01,1775.4,7.08,57.0
77.01,1779.1,6.98,57.0
78.01,1835.1,7.27,57.0
79.01,1789.8,7.08,57.0
80.01,1797.6,7.09,57.0
81.01,1837.4,7.08,57.0
82.01,1786.6,7.28,57.0
83.01,1858.2,7.27,57.0
84.01,1825.2,7.03,57.0
85.01,1719.6,7.09,58.0
86.01,1834.7,7.21,58.0
87.01,1807.9,7.15,58.0
88.01,1865.3,7.16,58.0
89.01,1876.9,7.26,58.0
90.01,1822.8,7.21,58.0
91.01,1823.4,7.26,58.0
92.01,1769.2,7.10,58.0
93.01,1740.8,7.33,58.0
94.01,1823.5,7.16,58.0
95.01,1783.4,7.21,58.0
96.01,1830.8,7.15,58.0
97.01,1809.0,6.97,58.0
98.01,1842.9,7.09,58.0
99.01,1815.9,7.15,58.0
100.01,1791.4,7.09,58.0
101.01,1834.0,7.04,58.0
102.01,1817.9,7.21,58.0
103.01,1836.3,7.28,58.0
104.01,1817.1,7.21,58.0
105.01,1772.8,7.15,59.0
106.01,1828.9,7.27,59.0
107.01,1837.2,7.09,58.0
108.01,1707.1,7.21,58.0
109.01,1828.4,7.09,59.0
110.01,1807.6,7.09,59.0
111.01,1818.8,7.21,59.0
112.01,1818.7,7.09,59.0
113.01,1821.7,7.22,59.0
114.01,1806.5,7.27,59.0
115.01,1820.5,7.03,59.0
116.01,1828.5,7.27,59.0
117.01,1836.4,7.04,59.0
118.01,1807.0,7.16,59.0
119.01,1828.7,7.09,59.0
