"t","clock","cpu","temp","fan"
"2.52","189","16.8","61","4000"
"5.06","188.9","19.1","65","4000"
"7.59","188.9","18.7","67","4000"
"10.14","188.9","18.2","70","3979"
"12.69","188.9","16.3","73","3987"
"15.23","187.4","18","75","3983"
"17.76","186.7","18.2","78","3975"
"20.3","187.9","18.4","79","3987"
"22.84","188.6","21.7","82","4000"
"25.38","189","18.8","84","4000"
"27.93","188.9","20","85","4028"
"30.48","185.9","18.6","87","4977"
"33.03","184.8","18.3","88","4921"
"35.59","161.7","18.3","88","4921"
"38.12","161.3","18.5","88","4933"
"40.67","160.5","19.3","88","4921"
"43.21","158.5","18.6","88","4933"
"45.76","161.4","17.3","88","4921"
"48.29","160.6","20","88","4921"
"50.85","159.6","20.7","87","4933"
"53.39","158.9","17","88","4921"
"55.95","159.9","20.9","88","4890"
"58.51","158.9","17.5","87","4890"
"61.07","159.6","18.9","88","4902"
"63.63","159.5","17.8","88","4909"
"66.18","159.2","19.2","88","4902"
"68.73","158.5","17.9","87","4909"
"71.29","159.2","20.1","87","4909"
"73.86","158.6","17","87","4902"
"76.41","159.7","18.9","87","4902"
"78.95","157.9","18","87","4884"
"81.48","159","18.9","87","5808"
"84.03","163.5","17.5","87","5985"
"86.58","160.8","21.6","87","5985"
"89.13","159.3","19.4","87","5985"
"91.68","159.9","18.1","87","5985"
"94.24","159.2","20.6","86","6012"
"96.8","159.5","18.6","86","5985"
"99.35","160.3","16.3","86","6012"
"101.91","161.5","20.6","87","5985"
"104.5","159.3","17.9","86","5985"
"107.07","157.8","19","86","5994"
"109.63","161.2","19.2","86","6003"
"112.19","161.2","19.1","86","5994"
"114.76","160.4","19.9","86","6003"
"117.31","161.2","20.3","86","6003"
"119.86","160.4","17.4","86","6030"
