t,rx_MBps,cpu_pct,temp_c
1.00,1785.9,7.21,43.0
2.00,1803.7,7.21,46.0
3.00,1804.1,7.15,46.0
4.00,1815.9,7.22,48.0
5.00,1793.5,7.27,48.0
6.00,1832.1,7.16,49.0
7.00,1831.3,7.15,49.0
8.00,1822.7,7.17,49.0
9.00,1790.6,7.16,49.0
10.00,1829.9,7.10,50.0
11.00,1803.5,7.21,50.0
12.00,1804.3,7.09,50.0
13.00,1809.6,7.27,50.0
14.00,1800.1,7.16,51.0
15.00,1824.3,7.09,51.0
16.00,1794.1,7.26,51.0
17.00,1762.4,7.15,51.0
18.00,1786.1,7.15,52.0
19.00,1576.5,9.02,52.0
20.00,1781.1,7.21,52.0
21.00,1786.0,7.21,52.0
22.00,1827.1,7.15,52.0
23.00,1813.8,7.28,52.0
24.00,1822.4,7.34,53.0
25.00,1824.3,7.16,53.0
26.00,1797.5,7.39,53.0
27.00,1839.6,7.04,53.0
28.00,1772.8,7.21,54.0
29.00,1767.2,7.39,54.0
30.00,1813.3,7.21,54.0
31.00,1779.5,7.21,54.0
32.00,1778.7,7.22,54.0
33.00,1629.2,7.03,54.0
34.00,1529.6,6.96,54.0
35.00,1551.5,6.90,54.0
36.00,1527.3,7.02,54.0
37.00,1568.8,7.02,54.0
38.00,1585.7,6.96,55.0
39.00,1540.7,6.84,55.0
40.00,1577.7,6.78,55.0
41.00,1518.9,6.72,55.0
42.00,1544.1,6.96,55.0
43.00,1593.1,7.14,55.0
44.00,1526.5,6.72,55.0
45.00,1576.1,7.08,55.0
46.00,1520.5,6.83,55.0
47.00,1574.8,6.97,55.0
48.00,1576.5,7.03,55.0
49.00,1474.5,6.65,55.0
50.00,1577.6,7.03,56.0
51.00,1519.2,6.78,56.0
52.00,1519.5,6.77,56.0
53.00,1564.9,6.85,56.0
54.00,1520.6,6.90,56.0
55.00,1586.6,6.91,56.0
56.00,1535.5,6.90,56.0
57.00,1535.2,6.72,56.0
58.00,1534.9,6.91,56.0
59.00,1516.8,6.83,56.0
60.00,1576.7,6.84,56.0
61.00,1542.9,6.96,56.0
62.00,1516.9,6.83,56.0
63.00,1569.6,6.85,56.0
64.00,1523.8,7.08,57.0
65.00,1567.6,7.02,57.0
66.00,1581.1,7.09,57.0
67.00,1540.5,6.90,57.0
68.00,1567.1,6.91,57.0
69.01,1542.1,6.96,57.0
70.01,1576.6,6.85,57.0
71.01,1562.1,6.90,57.0
72.01,1527.5,6.90,57.0
73.01,1587.5,6.97,57.0
74.01,1517.4,6.89,57.0
75.01,1568.3,6.96,57.0
76.01,1582.4,6.85,58.0
77.01,1525.7,6.78,58.0
78.01,1569.6,6.90,57.0
79.01,1525.8,7.02,57.0
80.01,1549.8,6.84,58.0
81.01,1551.1,7.91,58.0
82.01,1508.2,7.08,58.0
83.01,1541.1,9.28,58.0
84.01,1526.7,8.78,58.0
85.01,1555.1,8.14,58.0
86.01,1549.3,6.78,58.0
87.01,1537.5,6.96,58.0
88.01,1584.3,6.85,58.0
89.01,1585.7,6.85,58.0
90.01,1531.4,6.72,58.0
91.01,1596.6,6.79,58.0
92.01,1541.7,6.84,58.0
93.01,1576.7,6.96,58.0
94.01,1545.0,6.84,58.0
95.01,1526.2,6.95,58.0
96.01,1592.2,7.08,58.0
97.01,1547.2,6.84,58.0
98.01,1567.5,6.96,58.0
99.01,1578.8,6.73,58.0
100.01,1529.2,6.95,58.0
101.01,1605.6,6.97,58.0
102.01,1538.1,6.78,58.0
103.01,1563.8,7.08,58.0
104.01,1581.2,7.09,58.0
105.01,1455.0,6.65,58.0
106.01,1580.1,7.03,58.0
107.01,1569.5,6.78,58.0
108.01,1553.1,7.03,58.0
109.01,1601.3,7.09,58.0
110.01,1544.2,6.90,59.0
111.01,1593.6,6.96,59.0
112.01,1592.6,7.03,59.0
113.01,1551.2,6.67,59.0
114.01,1592.2,7.02,59.0
115.01,1548.8,6.90,59.0
116.01,1565.3,6.85,59.0
117.01,1508.3,6.83,59.0
118.01,1545.3,6.78,59.0
119.01,1591.9,7.09,59.0
