"t","clock","cpu","temp","fan"
"2.13","188.4","17.6","60","4378"
"4.66","188.6","16.8","62","3916"
"7.21","188.7","16.2","65","3987"
"9.77","188.8","35","67","3987"
"12.33","188.8","25.5","70","3987"
"14.89","188.5","19.5","72","3996"
"17.48","188.7","13.4","74","3992"
"20.01","188.8","32.4","77","3987"
"22.55","188.7","28.4","79","3987"
"25.09","188.8","16.3","81","3987"
"27.62","188.5","14.8","83","4228"
"30.17","186.6","38.1","84","4964"
"32.74","155.2","27","84","4902"
"35.3","160.6","16.6","84","4909"
"37.87","161.9","20.7","84","4902"
"40.42","153.7","16.6","84","4909"
"42.99","160.5","20.1","84","4902"
"45.55","158.7","16.6","84","4902"
"48.1","158.9","19.3","84","4909"
"50.64","161.6","17.3","84","4921"
"53.22","158.9","23.2","85","4921"
"55.8","157.4","58.2","84","4921"
"58.34","157.1","15.9","84","4915"
"60.9","160.8","37.2","84","4921"
"63.47","154.7","21.4","84","4921"
"66.02","155.2","14.6","84","4915"
"68.58","162","17","84","4921"
"71.14","162.5","17.8","84","4921"
"73.71","162.3","26","84","4933"
"76.26","155.7","16.6","84","5242"
"78.85","159.8","18.2","84","5939"
"81.41","157.6","17.2","84","6012"
"83.96","159.8","17.5","84","6030"
"86.51","159.5","15.9","84","6003"
"89.07","160.1","16.4","84","6030"
"91.61","159.8","17.1","84","6030"
"94.19","159.6","17.1","84","6030"
"96.73","159.2","17.9","84","6030"
"99.28","160","15.5","84","6030"
"101.84","159.9","16.9","84","6030"
"104.4","159.2","20.3","84","6003"
"106.95","159.1","17.3","84","6030"
"109.51","160.2","16.3","84","6030"
"112.05","159.6","18.5","84","6030"
"114.61","158.8","19.1","84","6012"
"117.18","159","16.1","84","6003"
"119.72","159.5","17.7","83","5994"
