t,rx_MBps,cpu_pct,temp_c
1.00,1825.4,7.09,44.0
2.00,1814.7,7.03,46.0
3.00,1816.1,7.15,46.0
4.00,1818.1,7.03,48.0
5.00,1788.3,7.04,48.0
6.00,1829.1,7.21,49.0
7.00,1840.2,6.98,49.0
8.00,1834.2,7.15,50.0
9.00,1727.3,7.08,50.0
10.00,1761.1,7.03,50.0
11.00,1856.4,6.97,50.0
12.00,1840.9,7.15,51.0
13.00,1766.7,7.03,51.0
14.00,1848.9,6.97,51.0
15.00,1855.0,7.03,51.0
16.00,1835.7,6.97,52.0
17.00,1832.0,6.98,52.0
18.00,1820.2,7.15,52.0
19.00,1833.6,7.08,52.0
20.00,1790.7,7.21,53.0
21.00,1806.6,7.04,53.0
22.00,1768.9,6.97,53.0
23.00,1827.9,7.21,53.0
24.00,1816.8,7.09,53.0
25.00,1825.7,7.04,53.0
26.00,1843.8,7.22,54.0
27.00,1834.8,7.15,54.0
28.00,1806.7,7.21,54.0
29.00,1814.6,6.97,54.0
30.00,1665.8,6.84,54.0
31.00,1740.4,7.27,54.0
32.00,1797.8,7.21,55.0
33.00,1702.2,7.04,55.0
34.00,1824.5,7.21,55.0
35.00,1847.1,7.21,55.0
36.00,1851.6,7.09,55.0
37.00,1832.9,7.03,55.0
38.00,1742.3,6.90,55.0
39.00,1749.0,6.91,55.0
40.00,1848.7,7.04,56.0
41.00,1827.0,7.27,56.0
42.00,1866.8,7.09,56.0
43.00,1805.1,7.09,56.0
44.00,1824.8,7.21,56.0
45.00,1838.6,7.15,56.0
46.00,1831.0,7.27,56.0
47.00,1850.2,7.27,56.0
48.00,1837.0,6.91,56.0
49.00,1800.4,7.15,56.0
50.00,1832.0,7.21,56.0
51.00,1844.0,7.09,56.0
52.00,1821.3,7.09,57.0
53.00,1788.3,7.04,57.0
54.00,1776.8,7.27,57.0
55.01,1445.8,5.88,57.0
56.01,1490.2,6.78,56.0
57.01,1836.6,7.16,56.0
58.01,1860.6,7.21,57.0
59.01,1806.3,7.16,57.0
60.01,1742.4,6.97,57.0
61.01,1786.1,7.09,57.0
62.01,1805.2,7.21,57.0
63.01,1824.2,7.21,57.0
64.01,1682.8,7.02,58.0
65.01,1851.0,7.27,58.0
66.01,1822.4,7.04,58.0
67.01,1839.1,6.97,58.0
68.01,1841.6,7.03,58.0
69.01,1808.2,7.15,58.0
70.01,1833.6,7.09,58.0
71.01,1862.2,7.21,58.0
72.01,1817.7,6.98,58.0
73.01,1814.0,7.09,58.0
74.01,1677.7,7.03,58.0
75.01,1793.7,7.16,58.0
76.01,1838.5,7.09,58.0
77.01,1813.2,7.04,58.0
78.01,1841.7,7.09,58.0
79.01,1798.2,7.04,58.0
80.01,1838.8,7.03,59.0
81.01,1841.1,7.16,59.0
82.01,1807.7,7.21,58.0
83.01,1820.3,6.97,58.0
84.01,1836.0,7.21,59.0
85.01,1826.0,6.91,59.0
86.01,1846.6,7.16,59.0
87.01,1809.8,7.21,59.0
88.01,1831.3,7.21,59.0
89.01,1821.8,7.04,59.0
90.01,1813.2,7.04,59.0
91.01,1856.5,7.21,59.0
92.01,1814.3,7.09,59.0
93.01,1826.8,7.09,59.0
94.01,1844.4,7.04,59.0
95.01,1799.4,7.21,59.0
96.01,1843.4,7.04,59.0
97.01,1809.7,7.15,59.0
98.01,1828.4,7.09,59.0
99.01,1827.3,7.21,59.0
100.01,1836.8,7.16,59.0
101.01,1840.7,7.16,59.0
102.01,1808.2,7.03,59.0
103.01,1827.0,7.15,59.0
104.01,1825.1,7.20,59.0
105.01,1812.5,7.10,59.0
106.01,1849.5,7.09,59.0
107.01,1813.2,7.21,59.0
108.01,1825.4,6.91,59.0
109.01,1824.6,7.04,59.0
110.01,1800.3,7.21,59.0
111.01,1837.4,7.21,59.0
112.01,1819.9,7.03,59.0
113.01,1828.9,7.21,59.0
114.01,1814.0,7.10,60.0
115.01,1809.0,7.04,60.0
116.01,1833.2,7.15,60.0
117.01,1812.0,7.10,60.0
118.01,1817.9,7.15,60.0
119.01,1833.6,7.03,60.0
