"stamp","tag","dir","srcMB","MBps","elapsedS","rsyncCPUs","sshCPUs","cpuPerGB","clockPct","cpuPct","tempStart","tempEnd","tempMax","rc","rsyncBuilt","note"
"2026-08-30T04:33:23","base1","push","1074","887","1.21","0.516","1.188","1.586","183.7","34.6","56","58","58","0","2026-08-30T03:41:47","baseline HEAD e9918e59, elevated session"
"2026-08-30T04:33:25","base2","push","1074","758","1.416","0.5","1.203","1.586","179.4","32.9","59","60","60","0","2026-08-30T03:41:47","baseline HEAD e9918e59, elevated session"
"2026-08-30T04:33:28","base3","push","1074","891","1.205","0.391","0.984","1.281","183.7","26.2","60","62","61","0","2026-08-30T03:41:47","baseline HEAD e9918e59, elevated session"
"2026-08-30T04:33:30","base4","push","1074","859","1.251","0.438","0.938","1.281","183.2","25.8","62","64","64","0","2026-08-30T03:41:47","baseline HEAD e9918e59, elevated session"
"2026-08-30T04:33:32","base5","push","1074","728","1.475","0.422","1","1.324","165.9","22.8","64","65","65","0","2026-08-30T03:41:47","baseline HEAD e9918e59, elevated session"
"2026-08-30T04:33:37","base4g","push","4295","1359","3.161","1.734","4.094","1.357","170.1","34.3","65","70","69","0","2026-08-30T03:41:47","baseline 4 GB"
"2026-08-30T04:54:01","ring1024","push","4295","1333","3.221","1.641","4.453","1.419","179.4","41.2","52","57","55","0","2026-08-30T03:41:47","ring sweep r1"
"2026-08-30T04:54:05","ring256","push","4295","1358","3.163","1.875","4.016","1.372","173.4","34.8","57","63","61","0","2026-08-30T03:41:47","ring sweep r1"
"2026-08-30T04:54:10","ring4096","push","4295","1354","3.172","1.672","4","1.321","183.3","36.8","63","67","65","0","2026-08-30T03:41:47","ring sweep r1"
"2026-08-30T04:54:14","ring16384","push","4295","1362","3.153","1.891","4.234","1.426","176.3","37.8","69","74","73","0","2026-08-30T03:41:47","ring sweep r1"
"2026-08-30T04:54:18","ring1024","push","4295","1369","3.137","1.906","3.984","1.372","167","34.8","74","78","76","0","2026-08-30T03:41:47","ring sweep r2"
"2026-08-30T04:54:23","ring256","push","4295","1361","3.156","1.625","4.031","1.317","170.4","33.2","78","80","79","0","2026-08-30T03:41:47","ring sweep r2"
"2026-08-30T04:54:27","ring4096","push","4295","1367","3.141","1.812","4.188","1.397","172.7","35.5","80","83","82","0","2026-08-30T03:41:47","ring sweep r2"
"2026-08-30T04:54:31","ring16384","push","4295","1353","3.175","1.797","4.375","1.437","170.6","34.7","83","84","83","0","2026-08-30T03:41:47","ring sweep r2"
"2026-08-30T04:58:53","pull1","pull","4295","1124","3.82","0.484","2.766","0.757","185.4","28.3","67","71","70","0","2026-08-30T03:41:47","pull baseline"
"2026-08-30T04:58:58","push1","push","4295","1227","3.501","1.734","3.797","1.288","176.9","31.6","71","74","74","0","2026-08-30T03:41:47","push baseline, interleaved with pull"
"2026-08-30T04:59:06","pull2","pull","4295","1139","3.77","0.453","2.344","0.651","181.8","21.3","77","80","80","0","2026-08-30T03:41:47","pull baseline"
"2026-08-30T04:59:11","push2","push","4295","1220","3.519","1.641","4.172","1.353","170.8","30","80","83","83","0","2026-08-30T03:41:47","push baseline, interleaved with pull"
"2026-08-30T04:59:36","pull3","pull","4295","1106","3.882","2.016","3.594","1.306","184.7","48.2","76","80","79","0","2026-08-30T03:41:47","pull baseline fixed"
"2026-08-30T04:59:40","push3","push","4295","1339","3.207","1.938","4.344","1.462","174.1","39.5","80","83","83","0","2026-08-30T03:41:47","push baseline interleaved"
"2026-08-30T04:59:49","pull4","pull","4295","1051","4.085","2","3.688","1.324","177","39.9","85","88","87","0","2026-08-30T03:41:47","pull baseline fixed"
"2026-08-30T04:59:54","push4","push","4295","1200","3.579","1.688","4.297","1.393","163.2","32","88","89","89","0","2026-08-30T03:41:47","push baseline interleaved"
"2026-08-30T05:05:34","SSH_SHMIO_SPIN=0","push","4295","1325","3.242","1.672","4.453","1.426","180.3","38.7","58","63","62","0","2026-08-30T03:41:47","sweep r1"
"2026-08-30T05:05:39","SSH_SHMIO_SPIN=128","push","4295","1220","3.522","1.719","4.438","1.433","177","34.8","64","68","68","0","2026-08-30T03:41:47","sweep r1"
"2026-08-30T05:05:43","SSH_SHMIO_SPIN=512","push","4295","1368","3.141","1.812","3.984","1.35","175","32.7","68","72","71","0","2026-08-30T03:41:47","sweep r1"
