"t","rsyncCPUs","sshCPUs","clockPct","cpuPct","tempC"
"0.27","0.031","0.141","153.2","17.3","65"
"0.54","0.156","0.578","169.5","32","65"
"0.81","0.328","0.938","189","39.5","65"
"1.2","0.531","1.359","189","40.8","66"
"1.46","0.828","2","189","48.3","66"
"1.72","1","2.422","189","37.8","66"
"1.98","1.219","2.828","189","43.7","66"
"2.38","1.328","3.172","189","34.9","69"
"2.64","1.578","3.844","189","45.1","69"
"2.91","1.734","4.094","178.7","31.9","69"
"3.16","1.734","4.094","46.6","6.4","69"
