"t","MBps","clockPct","tempC","rpm"
"1.2","922","188.6","62","4000"
"2.3","1491","189","63","3996"
"3.5","1482","189","65","4000"
"4.6","1528","189","66","4004"
"5.8","1532","189","68","4000"
"6.9","1532","189","69","4000"
"8.1","1500","183.5","72","4000"
"9.2","1549","188.1","73","4008"
"10.3","1576","188.1","75","3996"
"11.5","1445","183.3","76","4008"
"12.6","1492","181.9","78","4004"
"13.7","1550","183.3","79","4004"
"14.9","1513","180.3","81","4012"
"16","1524","178.7","82","4000"
"17.2","1438","178","83","4008"
"18.4","1475","175.6","84","4008"
"19.5","1535","172.1","85","4121"
"20.7","1492","169.7","87","4860"
"21.8","1515","168.6","87","4977"
"23","1422","146.9","88","4933"
"24.2","1360","145","88","4915"
"25.4","1347","143.3","88","4921"
"26.6","1323","140.8","88","4921"
"27.8","1391","143.6","88","4915"
"29","1387","143","88","4939"
"30.2","1344","144.4","88","4933"
"31.3","1334","145.4","89","4933"
"32.5","1324","147","89","4915"
"33.7","1361","144.5","89","4927"
"34.8","1386","144","89","4921"
"36","1309","143.3","89","4921"
"37.2","1357","143.5","89","4921"
"38.4","1341","144.2","89","4921"
"39.6","1340","144.7","89","4933"
"40.8","1287","144.5","89","4927"
"42","1369","143.2","89","4927"
"43.1","1364","143.3","89","4939"
"44.3","1372","142.3","88","4921"
"45.5","1310","141","88","4921"
"46.7","1333","142.6","88","4921"
"47.9","1351","142.9","88","4909"
"49.1","1263","142.7","88","4915"
"50.3","1343","142.1","88","4909"
"51.4","1339","141.6","88","4939"
"52.7","1287","141.3","88","4927"
"53.8","1292","139.6","88","4921"
"55","1306","141.9","88","4921"
"56.2","1360","141","88","4921"
"57.4","1331","140.4","88","4939"
"58.6","1188","139.5","88","4933"
"59.8","1058","135.3","88","4939"
"61.1","1220","135.1","88","4915"
"62.3","1019","132.3","88","4933"
"63.5","1299","139.9","88","4933"
"64.7","1312","141.5","88","4927"
"65.9","1356","140.4","88","4933"
"67.1","1278","141.8","88","4927"
"68.3","1249","142.9","88","4933"
"69.5","1225","139.3","88","4890"
"70.6","1229","138.1","88","4890"
"71.8","1303","138.9","87","4902"
"73","1321","139.4","87","4902"
"74.2","1286","138.2","87","4902"
"75.4","1332","138.7","87","4915"
"76.6","1341","140.5","87","4915"
"77.7","1330","139","87","4909"
"78.9","1359","138.1","87","4902"
"80.1","1286","139.6","87","4921"
"81.3","1276","138.2","87","4915"
"82.5","1300","137.2","87","4921"
"83.7","1313","137.6","87","5569"
"84.9","1342","138.7","87","5895"
"86.1","1335","137.6","87","5966"
"87.3","1282","138.2","87","5948"
"88.5","1343","138.1","87","5957"
"89.7","1164","134.5","87","5985"
"90.9","1169","136.3","87","5985"
"92","1296","137.6","87","6003"
"93.2","1309","137.6","87","6003"
"94.4","1318","138","87","6003"
"95.6","1280","136.7","86","6003"
"96.8","1314","135.7","86","6003"
"98","1291","135.1","86","6012"
"99.2","1325","135.2","86","6012"
"100.4","1320","134.5","86","6012"
"101.6","1309","135","86","6030"
"102.8","1288","136.3","86","6030"
"103.9","1298","136.5","86","6012"
"105.1","1288","135.8","86","6012"
"106.3","1267","134.2","85","6012"
"107.5","1297","134.9","85","6003"
"108.7","1292","134.7","85","6003"
"109.9","1331","134.3","85","6003"
"111.1","1299","134.9","85","6003"
"112.3","1299","135.4","85","6012"
"113.5","1302","133.8","85","6030"
"114.7","1299","133","85","6003"
"115.9","1319","133.1","85","6012"
"117.1","1307","133.2","85","6003"
"118.3","1285","132.3","85","6012"
"119.5","1285","133","84","6003"
"120.7","1293","133.5","84","6030"
"121.9","1310","133.2","84","6012"
"123.1","1311","132.6","84","6012"
"124.3","1275","132.5","84","6012"
"125.5","1283","132.3","84","6003"
"126.7","1280","131.6","84","6030"
"127.9","1277","131.6","84","6003"
"129.1","1281","132","84","6003"
"130.3","1293","131.5","84","6030"
"131.5","1291","131","84","6030"
"132.7","1257","130.8","84","6030"
"133.9","1279","130.8","84","6030"
"135.1","1300","131","83","6030"
"136.2","1249","131","83","6030"
"137.4","1256","131.3","83","6030"
"138.6","1265","132.2","83","6003"
"139.8","1284","132","83","6030"
"141","1290","130.7","83","6030"
"142.2","1288","130.6","83","6003"
"143.4","1266","131","83","6030"
"144.6","1262","130.5","83","6030"
"145.8","1285","129.6","83","6012"
"147","1300","130","83","6030"
"148.2","1194","131","83","6030"
"149.4","1279","131.3","83","6003"
"150.6","1271","131.2","83","6003"
"151.8","1271","131","83","6012"
"153","1305","131","82","6003"
"154.2","1285","130.4","82","6012"
"155.4","1269","131.2","82","6030"
"156.6","1294","132.9","82","6012"
"157.8","1291","131.6","82","6012"
"159","1294","131.7","82","6030"
"160.2","1253","131.5","82","6012"
"161.4","1251","130.8","82","6030"
"162.6","1272","131.3","82","6030"
"163.8","1286","131.4","82","6030"
"165.1","1307","131.3","82","6030"
"166.2","1301","131.8","82","6012"
"167.4","1270","131.3","82","6030"
"168.6","1260","131.6","82","6030"
"169.8","1286","131","82","6003"
"171.1","1224","128.8","82","5985"
"172.3","1213","129.7","82","6012"
"173.5","1259","130.3","82","6012"
"174.7","1291","131.4","82","6003"
"175.9","1305","131.9","82","6003"
"177.1","1340","131","82","6003"
"178.3","1282","131.4","82","6012"
"179.5",,"131.1","82","5985"
"180.6",,"123.6","82","6012"
