"t","MBps","clockPct","tempC","rpm"
"1.1","955","189","67","4872"
"2.3","1469","185.2","71","4872"
"3.5","1539","188.8","72","4890"
"4.6","1511","187.8","74","4872"
"5.8","1534","185.4","75","4872"
"7","1501","184.5","76","4884"
"8.1","1557","181.3","78","4878"
"9.3","1540","178.4","80","4884"
"10.5","1422","140.3","81","4872"
"11.7","1486","130.8","81","4890"
"12.9","1521","130.1","81","4872"
"14.1","1473","130","82","4872"
"15.3","1282","130.5","82","4884"
"16.5","1286","130.6","82","4872"
"17.7","1264","130.7","82","4878"
"18.9","1263","130.2","82","4878"
"20.1","1245","129.7","82","4872"
"21.3","1258","131.3","82","4872"
"22.5","1281","128.6","82","4866"
"23.7","1211","130.3","82","4872"
"24.9","1249","129.4","82","4890"
"26.1","1212","131.3","83","4872"
"27.3","1252","131.5","83","4872"
"28.5","1286","130.5","83","4872"
"29.7","1247","131","83","4872"
"30.9","1237","131.9","83","4878"
"32.1","1272","132.4","83","4872"
"33.3","1272","131.4","83","4872"
"34.5","1282","131.3","83","4872"
"35.7","1243","131.5","83","4872"
"36.9","1247","131.4","83","5313"
"38.1","1241","132","83","5808"
"39.3","1273","132","83","5966"
"40.5","1288","131.9","83","5966"
"41.7","1263","131.5","83","5966"
"42.9","1257","131","83","5994"
"44.1","1277","131.3","83","5966"
"45.3","1291","131.5","83","5994"
"46.5","1290","131.5","83","5966"
"47.7","1260","131.4","83","5966"
"48.9","1270","132.2","82","5985"
"50.1","1275","131","83","5985"
"51.3","1268","131.9","83","5985"
"52.5","1283","131.3","83","5994"
"53.7","1182","131.2","82","5985"
"54.9","1247","131","82","6003"
"56.1","1269","131.8","83","5985"
"57.3","1261","131.3","82","6012"
"58.5","1281","129.3","82","6003"
"59.8","1253","131.1","82","6003"
"61","1250","130.8","82","6012"
"62.1","1209","131.5","82","6003"
"63.3","1241","131","82","6012"
"64.5","1282","131.1","82","5994"
"65.7","1247","131.6","82","6003"
"66.9","1253","132.5","83","5985"
"68.1","1228","131.5","83","5985"
"69.3","1253","130.5","82","6012"
"70.5","1268","131.5","83","6003"
"71.7","1267","131.1","82","6003"
"72.9","1251","130.4","82","6030"
"74.1","1153","131.3","82","6012"
"75.3","1258","132.1","82","6012"
"76.5","1288","133.3","82","6030"
"77.7","1250","131.9","82","6012"
"78.9","1256","131.4","82","6030"
"80.1","1240","131","82","6030"
"81.3","1266","131","82","6049"
"82.5","1267","130.6","82","6030"
"83.7","1267","130.3","82","6030"
"84.9","1275","131.5","82","6058"
"86.1","1277","132.5","83","6030"
"87.3","1281","131.7","82","6058"
"88.5","1295","131.5","83","6030"
"89.7","1256","131.5","82","6049"
"90.9","1250","131.6","83","6030"
"92.1","1251","131.3","82","6030"
"93.3","1248","131.8","82","6012"
"94.5","1264","132.6","82","6030"
"95.7","1239","131.6","82","6012"
"96.9","1262","131.5","83","6012"
"98.1","1250","131","83","6003"
"99.3","1280","131.3","82","6012"
"100.5","1305","131.5","82","6030"
"101.7","1239","130.7","82","6003"
"102.9","1260","129.7","82","6030"
"104.1","1245","133.1","82","6030"
"105.3","1266","131.5","82","6012"
"106.5","1285","131.4","83","6030"
"107.7","1209","131","82","6003"
"108.9","1255","130.5","82","6030"
"110.1","1259","131.6","82","6030"
"111.3","1250","131.8","82","6003"
"112.5","1293","132.5","82","6030"
"113.7","1247","131.8","83","6012"
"114.8","1262","131.8","83","6030"
"116","1234","131.3","82","6030"
"117.2","1265","131","82","6030"
"118.4","1293","131.5","83","6030"
"119.6","1249","131","83","6003"
"120.8","1275","131","82","6012"
"122","1252","131.9","82","6040"
"123.2","1257","131.8","83","6012"
"124.5","1300","130.9","82","6030"
"125.7","1259","130.6","82","6003"
"126.9","1251","130.9","83","6012"
"128","1255","130.7","82","6012"
"129.3","1207","130.7","82","6030"
"130.5","1304","131.6","83","6012"
"131.7","1253","133","83","6030"
"132.9","1266","131","83","6003"
"134.1","1242","131.2","82","6003"
"135.2","1278","130.8","83","6003"
"136.5","1268","130.7","83","6030"
"137.6","1256","131.5","82","6030"
"138.9","1243","131","83","6030"
"140","1177","132.4","83","6003"
"141.3","1260","131.8","83","6003"
"142.5","1291","130.7","82","6003"
"143.7","1270","130.9","83","6003"
"144.9","1268","131.4","83","6012"
"146.1","1200","131","82","6003"
"147.2","1280","131.3","83","6003"
"148.4","1273","131.9","83","6003"
"149.6","1245","131.9","83","6030"
"150.8","1245","130.4","83","6030"
"152.1","1239","130.9","83","6012"
"153.3","1240","130.9","83","6012"
"154.5","1229","131","82","6012"
"155.7","1255","131","82","6012"
"156.9","1162","131","82","6012"
"158.1","1228","132.1","82","6003"
"159.3","1255","132.1","82","6003"
"160.5","1266","131","83","6003"
"161.7","1263","131.4","82","6012"
"162.9","1247","130.7","83","6012"
"164.1","1280","130","82","6003"
"165.3","1257","130.4","82","6003"
"166.5","1301","130.2","82","6030"
"167.7","1269","131.3","82","6030"
"168.9","1217","132.3","82","6030"
"170.1","1264","131","82","6030"
"171.3","1279","131","83","6003"
"172.5","1321","131.7","83","6030"
"173.8","1250","131","83","6012"
"175","1263","125.8","83","6003"
"176.1","1244","117.6","82","6030"
