"t","MBps","clockPct","tempC","rpm"
"1.1","1030","189","67","4890"
"2.3","1535","189","69","4884"
"3.5","1567","189","70","4890"
"4.6","1592","188.9","72","4890"
"5.8","1575","188.9","75","4890"
"6.9","1503","187.4","76","4890"
"8.1","1592","187.1","77","4890"
"9.2","1505","182.7","79","4890"
"10.4","1423","146.7","80","4902"
"11.6","1539","128.8","80","4884"
"12.8","1603","128","81","4890"
"14","1597","129.3","81","4884"
"15.2","1444","129.3","81","4902"
"16.5","1445","129.6","81","4884"
"17.7","1431","129.3","82","4890"
"18.9","1446","129.8","82","4878"
"20.1","1467","127","82","4890"
"21.3","1452","126","82","4890"
"22.6","1459","126.3","82","4890"
"23.8","1417","125","82","4890"
"25","1373","125.4","82","4890"
"26.2","1374","126.4","82","4890"
"27.4","1441","128.8","82","4890"
"28.7","1380","126","82","4890"
"29.9","1376","127.2","82","4890"
"31.1","1461","127.8","82","4890"
"32.3","1455","128.3","82","4884"
"33.5","1423","128.3","82","4890"
"34.7","1431","129.3","82","4890"
"36","1439","128.6","82","4902"
"37.2","1469","128.9","82","4890"
"38.4","1471","128.5","82","4890"
"39.6","1459","129.8","82","4915"
"40.8","1421","129.5","82","4902"
"42","1434","130.2","82","4902"
"43.2","1438","131.8","82","4902"
"44.4","1429","128.7","82","4890"
"45.6","1374","128.7","82","4902"
"46.8","1468","128.9","82","4890"
"48.1","1335","128","82","4909"
"49.3","1428","128.4","83","4890"
"50.5","1477","130.4","83","4884"
"51.7","1461","130.1","83","4890"
"52.9","1448","128.5","83","4909"
"54.1","1458","128.4","83","4890"
"55.3","1443","128.6","83","4902"
"56.5","1473","128.8","82","4921"
"57.8","1420","124","83","4902"
"59.1","1464","112.6","82","4884"
"60.3","1417","119.6","82","4902"
"61.5","1440","127.4","83","4909"
"62.8","552","126.3","83","4884"
"64","997","124.7","82","4890"
"65.2","1227","124","82","5060"
"66.4","1404","129.2","83","5690"
"67.6","1359","131.6","83","5921"
"68.8","1170","132.6","83","5985"
"70","1339","129.8","83","5985"
"71.2","1353","128","83","5985"
"72.5","1362","127.3","82","5985"
"73.7","1356","127","82","5985"
"74.9","1417","127.5","82","5985"
"76.1","1527","128","83","6003"
"77.3","1456","127.8","83","6030"
"78.5","1504","126","82","6012"
"79.8","1526","128.1","82","6012"
"81","1537","127.6","82","6012"
"82.2","1418","127.2","82","6012"
"83.4","1550","128","82","6030"
"84.6","1509","127.4","82","6030"
"85.8","1515","127.2","82","6003"
"87.1","1518","124.6","82","6012"
"88.3","1523","126.5","82","6012"
"89.5","1498","127","82","6003"
"90.7","1302","128.3","82","6012"
"91.9","1441","128","83","6012"
"93.1","1495","127.7","82","6012"
"94.3","1481","128.7","82","6003"
"95.6","1466","129.1","82","6012"
"96.8","1526","128.6","82","6003"
"98","1422","128.6","82","6012"
"99.2","1447","129","82","6012"
"100.4","1425","127.3","82","6003"
"101.6","1414","127.3","82","6012"
"102.8","1433","127.4","82","6012"
"104.1","1416","128.4","82","6012"
"105.3","1363","128","82","6012"
"106.5","1392","130.7","82","6012"
"107.7","1443","129.9","82","5985"
"108.9","1471","127","82","6012"
"110.1","1456","129.4","82","6012"
"111.3","1401","128.6","83","6012"
"112.5","1416","127.4","82","5985"
"113.7","1442","129.1","83","6003"
"114.9","1413","130.9","82","6012"
"116.2","1390","129.4","83","5985"
"117.4","1500","128.7","82","5985"
"118.6","1417","129.3","82","6012"
"119.8","1430","128.6","82","6012"
"121","1411","127.7","82","5985"
"122.2","1459","129.9","83","6012"
"123.4","1384","128.6","83","6030"
"124.7","1447","128","82","6030"
"125.9","1450","128.2","82","6030"
"127.1","1438","129","83","6030"
"128.3","1474","127.8","82","6003"
"129.5","1454","129.4","82","6030"
"130.7","1449","129.6","82","6030"
"131.9","1443","128.8","82","6003"
"133.1","1467","129.1","83","6012"
"134.3","1468","127.4","82","6030"
"135.5","1451","127.9","82","6030"
"136.8","1432","128.3","82","6030"
"138","1454","129","83","6030"
"139.1","1490","129.4","82","6030"
"140.4","1498","128.8","82","6030"
"141.5","1449","129.7","82","6003"
"142.8","1442","128.5","82","6030"
"144","1372","129","83","6003"
"145.2","1447","128.4","82","6030"
"146.4","1440","130.5","82","6030"
"147.6","1413","128.7","82","6030"
"148.8","1444","127.9","82","6030"
"150","1418","128.4","83","6012"
"151.2","1442","128.8","82","6030"
"152.4","1424","128.9","82","6030"
"153.6","1457","129.5","83","6030"
"154.8","1443","129.7","82","6030"
"156","1424","127.6","82","6030"
"157.2","1429","129","83","6030"
"158.4","1477","128.2","83","6030"
"159.6","1473","127.9","82","6030"
"160.8","1472","129.2","82","6030"
"162","1442","130.9","82","6030"
"163.2","1428","128.8","82","6030"
"164.4","1488","128.3","83","6030"
"165.6","1412","129.2","83","6030"
"166.9","1454","129","82","6030"
"168.1","1410","127.8","82","6030"
"169.3","1467","129.5","83","6030"
"170.5","1465","128.9","82","6030"
"171.7","1450","129.4","82","6030"
"172.9","1449","127.5","83","6058"
"174.2","1450","128.5","82","6030"
"175.4","1495","128.4","82","6030"
"176.5","1462","119","82","6030"
