"t","MBps","clockPct","tempC","rpm"
"1.2","1035","188.9","67","4890"
"2.3","1546","188.2","69","4890"
"3.5","1599","188.9","72","4890"
"4.6","1505","188.2","74","4890"
"5.8","1537","188.5","75","4878"
"6.9","1522","187.9","76","4890"
"8.1","1569","186.6","78","4890"
"9.2","1496","183","79","4890"
"10.4","1496","138.5","81","4909"
"11.6","1504","129.2","81","4890"
"12.9","1554","127.7","81","4890"
"14.1","1516","128.5","81","4890"
"15.3","1425","128.4","82","4890"
"16.5","1401","127.9","82","4890"
"17.7","1420","129","82","4890"
"18.9","1372","130.4","82","4902"
"20.1","1416","128.4","82","4902"
"21.3","1378","126.1","82","4921"
"22.5","1406","127.9","82","4915"
"23.7","1363","127.3","82","4902"
"25","1301","128.3","82","4902"
"26.2","1356","128.5","82","4921"
"27.4","1406","128.3","82","4921"
"28.6","1407","129.6","82","4902"
"29.8","1376","128.4","82","4902"
"31","1424","128.6","83","4902"
"32.2","1405","129.1","83","4902"
"33.4","1428","129.2","83","4902"
"34.6","1409","127.5","83","4921"
"35.8","1410","130.3","83","4902"
"37","1381","128.8","83","4921"
"38.2","1361","128.3","83","4915"
"39.5","1408","128.3","83","4909"
"40.7","1419","129.1","83","4902"
"41.9","1395","128.6","83","4921"
"43.1","1376","129.5","83","4902"
"44.3","1353","132.5","82","4902"
"45.5","1406","129.6","83","5299"
"46.7","1394","128.5","83","5808"
"47.9","1379","128.9","83","5966"
"49.1","1301","129.4","83","5985"
"50.4","1394","128.4","82","5957"
"51.6","1404","128.9","82","5985"
"52.8","1385","129.2","82","5985"
"54","1328","128.1","82","5985"
"55.2","1404","128.3","82","5985"
"56.5","1359","128.2","83","5985"
"57.7","1407","125.8","82","5985"
"58.9","1400","128.4","82","5985"
"60.1","1380","130.3","82","5985"
"61.3","1348","130.5","82","5985"
"62.5","1355","127.6","82","5994"
"63.7","1413","129.1","82","5985"
"64.9","1365","129.1","82","5985"
"66.1","1405","129.7","82","5994"
"67.3","1342","128.8","82","5985"
"68.6","1383","129.9","82","5985"
"69.8","1370","129","82","5985"
"71","1380","128.7","82","5985"
"72.2","1377","127.7","82","5985"
"73.4","1416","128.3","82","6003"
"74.6","1306","129.5","82","6003"
"75.8","1401","128.1","82","6003"
"77","1397","130.7","82","5985"
"78.2","1387","129.5","82","5985"
"79.4","1379","129.9","82","5985"
"80.6","1356","128.8","82","5985"
"81.9","1402","127","82","5994"
"83.1","1380","127.2","82","5985"
"84.3","1367","129.6","82","5985"
"85.5","1448","129.5","82","5985"
"86.7","1286","127.1","82","5985"
"87.9","1389","128.7","82","5985"
"89.1","1394","127.7","82","5985"
"90.4","1413","128.9","82","5985"
"91.6","1408","128.9","82","5985"
"92.8","1383","130.2","82","5985"
"94","1390","131","82","5985"
"95.2","1414","129.4","82","5985"
"96.4","1385","129.4","82","5985"
"97.6","1367","128.8","82","5985"
"98.8","1379","129.4","82","5985"
"100","1387","128.9","82","5985"
"101.2","1358","130.4","82","5985"
"102.4","1394","128.5","82","5985"
"103.6","1383","126.9","82","5985"
"104.8","1391","127.9","82","5985"
"106","1407","127.8","82","5985"
"107.2","1439","127.4","82","5985"
"108.5","1443","127.8","82","5985"
"109.7","1418","128.9","82","5994"
"110.9","1357","127.2","82","6012"
"112.1","1423","127.4","82","5985"
"113.3","1446","128.4","82","6012"
"114.5","1470","128.2","82","5985"
"115.7","1430","127.3","83","5985"
"116.9","1433","128.7","82","6003"
"118.1","1413","126.9","83","6012"
"119.4","1418","128.1","83","6003"
"120.6","1430","127.6","82","5985"
"121.8","1418","127.8","83","5985"
"123","1424","127.3","82","6003"
"124.2","1381","127.4","83","5994"
"125.4","1397","129.9","82","6012"
"126.6","1418","128.6","83","5985"
"127.9","1432","127.4","82","5985"
"129.1","1448","128.2","82","5994"
"130.3","1400","127.6","82","5985"
"131.5","1429","127.5","82","5985"
"132.7","1417","127.7","82","5985"
"133.9","1473","128.8","82","6012"
"135.1","1425","129.6","82","5994"
"136.4","1428","128.5","83","5985"
"137.6","1429","127.6","82","5985"
"138.8","1397","127.9","82","6012"
"140","1396","128.5","82","5994"
"141.2","1423","130","82","6012"
"142.4","1427","129","82","6012"
"143.6","1414","128.5","82","5994"
"144.8","1420","127.5","82","5985"
"146","1407","128.3","83","5985"
"147.2","1400","128.8","82","6012"
"148.4","1426","129.4","82","5985"
"149.6","1392","128.5","82","5985"
"150.8","1375","128","82","5985"
"152.1","1397","127.6","83","6003"
"153.3","1412","127.9","83","5985"
"154.5","1388","128.4","82","5985"
"155.7","1431","128.4","83","5985"
"156.9","1428","128.1","83","5985"
"158.1","1409","128.3","82","6012"
"159.3","1401","127.4","82","5985"
"160.5","1441","127.6","82","6012"
"161.7","1448","127.8","82","5985"
"162.9","1440","127.4","82","6003"
"164.2","1461","128.6","83","5985"
"165.4","1429","128.9","83","6003"
"166.6","1434","127.8","83","5985"
"167.8","1437","128.3","83","6012"
"169","1443","127.9","83","6012"
"170.2","1419","127.2","83","6012"
"171.4","1433","128","83","5994"
"172.6","1408","128.2","83","6003"
"173.8","1430","128.4","83","5985"
"175","1365","128.1","83","5985"
"176.2","1426","116.2","83","5985"
