0.8 1138639:sshd-session=10%
0.9 1138642:sshd-session=60%
1.0 1138642:sshd-session=80% 1138644:rsync=90%
1.1 1138642:sshd-session=70% 1138644:rsync=90%
1.2 1138642:sshd-session=90% 1138644:rsync=90%
1.3 1138642:sshd-session=80% 1138644:rsync=80%
1.4 1138642:sshd-session=70% 1138644:rsync=80%
1.5 1138642:sshd-session=90% 1138644:rsync=100%
1.6 1138642:sshd-session=70% 1138644:rsync=90%
1.8 1138642:sshd-session=90% 1138644:rsync=80%
1.9 1138642:sshd-session=80% 1138644:rsync=90%
2.0 1138642:sshd-session=90% 1138644:rsync=90%
2.1 1138642:sshd-session=80% 1138644:rsync=90%
2.2 1138642:sshd-session=90% 1138644:rsync=80%
2.3 1138642:sshd-session=80% 1138644:rsync=100%
2.4 1138642:sshd-session=80% 1138644:rsync=80%
2.5 1138642:sshd-session=90% 1138644:rsync=100%
2.6 1138642:sshd-session=80% 1138644:rsync=80%
2.7 1138642:sshd-session=80% 1138644:rsync=80%
2.9 1138642:sshd-session=90% 1138644:rsync=90%
3.0 1138642:sshd-session=80% 1138644:rsync=80%
3.1 1138642:sshd-session=90% 1138644:rsync=100%
3.2 1138642:sshd-session=80% 1138644:rsync=80%
3.3 1138642:sshd-session=90% 1138644:rsync=90%
3.4 1138642:sshd-session=80% 1138644:rsync=90%
3.5 1138642:sshd-session=80% 1138644:rsync=90%
3.6 1138642:sshd-session=70%
4.1 1138667:sshd-session=10%
4.2 1138677:sshd-session=60% 1138678:rsync=70%
4.3 1138677:sshd-session=60% 1138678:rsync=70%
4.4 1138677:sshd-session=70% 1138678:rsync=80%
4.5 1138677:sshd-session=60% 1138678:rsync=60%
4.6 1138677:sshd-session=60% 1138678:rsync=60%
4.7 1138677:sshd-session=60% 1138678:rsync=80%
4.8 1138677:sshd-session=70% 1138678:rsync=60%
4.9 1138677:sshd-session=70% 1138678:rsync=60%
5.0 1138677:sshd-session=60% 1138678:rsync=70%
5.1 1138677:sshd-session=60% 1138678:rsync=60%
5.3 1138677:sshd-session=60% 1138678:rsync=70%
5.4 1138677:sshd-session=70% 1138678:rsync=60%
5.5 1138677:sshd-session=60% 1138678:rsync=60%
5.6 1138677:sshd-session=70% 1138678:rsync=70%
5.7 1138677:sshd-session=60% 1138678:rsync=60%
5.8 1138677:sshd-session=70% 1138678:rsync=70%
5.9 1138677:sshd-session=60% 1138678:rsync=50%
6.0 1138677:sshd-session=60% 1138678:rsync=60%
6.1 1138677:sshd-session=70% 1138678:rsync=60%
6.2 1138677:sshd-session=60% 1138678:rsync=60%
6.3 1138677:sshd-session=60% 1138678:rsync=60%
6.5 1138677:sshd-session=60% 1138678:rsync=60%
6.6 1138677:sshd-session=70% 1138678:rsync=60%
6.7 1138677:sshd-session=60% 1138678:rsync=60%
6.8 1138677:sshd-session=70% 1138678:rsync=60%
6.9 1138677:sshd-session=70% 1138678:rsync=60%
7.0 1138677:sshd-session=70% 1138678:rsync=60%
7.1 1138677:sshd-session=70% 1138678:rsync=50%
7.2 1138677:sshd-session=50% 1138678:rsync=50%
